ID	x	y	year	title	abstract	affiliation	journal	keywords
A001	-2.3	1.5	2023	Deep Learning for Remote Sensing Image Classification	This paper proposes a novel deep learning architecture for classifying satellite imagery with improved accuracy over existing methods. The approach uses multi-scale feature extraction and attention mechanisms.	University of Tokyo	Remote Sensing Letters	deep learning, remote sensing, classification
A002	-1.8	2.1	2022	Urban Heat Island Effect Analysis Using Satellite Data	We analyze urban heat island effects in major Asian cities using multi-temporal satellite thermal data. Results show significant temperature differences between urban and rural areas.	Kyoto University	Environmental Research	urban heat island, satellite, thermal
A003	-1.2	0.8	2024	Machine Learning Approaches for Flood Prediction	A comprehensive review of machine learning methods applied to flood prediction and early warning systems. We compare random forests, SVMs, and neural networks on historical flood data.	Osaka University	Natural Hazards	flood prediction, machine learning, review
A004	0.5	-1.3	2023	Coral Reef Monitoring with Autonomous Underwater Vehicles	This study presents an autonomous underwater vehicle system for coral reef health monitoring using computer vision and sonar mapping techniques.	JAMSTEC	Marine Biology	coral reef, AUV, monitoring
A005	1.2	-0.5	2022	Carbon Sequestration Estimation from Forest Biomass	We develop a method to estimate carbon sequestration rates from forest biomass measurements using LiDAR and satellite multispectral data.	Nagoya University	Forest Ecology	carbon sequestration, LiDAR, biomass
A006	-0.3	3.2	2024	Transformer Models for Natural Language Processing in Scientific Literature	Application of transformer-based models for automated extraction of key findings from scientific publications in earth science domains.	University of Tokyo	Computational Linguistics	NLP, transformer, scientific literature
A007	2.1	0.3	2023	Glacier Retreat Measurement Using SAR Interferometry	Synthetic aperture radar interferometry is used to measure glacier retreat rates in the Himalayas over the past decade with sub-meter precision.	Hokkaido University	Cryosphere	glacier, SAR, interferometry
A008	-3.1	-0.7	2021	Air Quality Prediction Using IoT Sensor Networks	An IoT-based air quality monitoring and prediction system is proposed for urban environments. The system integrates ground sensors with satellite aerosol optical depth data.	Keio University	Atmospheric Environment	air quality, IoT, prediction
A009	0.8	2.5	2024	Large Language Models for Climate Data Analysis	We explore the application of large language models to analyze and summarize climate projection data, demonstrating improved accessibility for non-expert stakeholders.	RIKEN	Climate Change	LLM, climate, data analysis
A010	1.5	1.8	2023	Biodiversity Assessment Using eDNA and Remote Sensing	A novel framework combining environmental DNA sampling with remote sensing habitat classification for comprehensive biodiversity assessment.	National Institute for Environmental Studies	Biodiversity Conservation	eDNA, remote sensing, biodiversity
A011	-2.8	-1.5	2022	Earthquake Early Warning System Enhancement with AI	Deep learning models improve P-wave detection accuracy in earthquake early warning systems, reducing false alarm rates by 40 percent.	Tohoku University	Seismological Research Letters	earthquake, early warning, AI
A012	3.0	-0.2	2024	Ocean Current Prediction Using Physics-Informed Neural Networks	Physics-informed neural networks are applied to ocean current prediction, combining observational data with governing fluid dynamics equations.	JAMSTEC	Ocean Modelling	ocean current, PINN, prediction
A013	-0.5	-2.8	2023	Sustainable Agriculture Monitoring via Satellite Time Series	Multi-temporal satellite imagery analysis for monitoring sustainable agriculture practices and crop health assessment across Japanese prefectures.	University of Tsukuba	Agricultural Systems	agriculture, satellite, time series
A014	1.8	-1.8	2022	Microplastics Detection in Coastal Waters Using Hyperspectral Imaging	Development of hyperspectral imaging techniques for detecting and quantifying microplastics in coastal water environments.	Kyushu University	Marine Pollution Bulletin	microplastics, hyperspectral, coastal
A015	-1.5	-2.0	2024	Renewable Energy Site Selection Using GIS and Multi-Criteria Analysis	A GIS-based multi-criteria decision analysis framework for optimal renewable energy installation site selection in rural Japan.	Tokyo Institute of Technology	Renewable Energy	GIS, renewable energy, MCDA
A016	0.2	0.5	2023	Digital Twin Technology for Smart City Infrastructure	Creating digital twins of urban infrastructure using 3D point clouds and BIM data for predictive maintenance and disaster simulation.	University of Tokyo	Smart Cities	digital twin, smart city, BIM
A017	2.5	2.0	2021	Wetland Ecosystem Services Valuation Using Remote Sensing	Quantitative assessment of ecosystem services provided by Japanese wetlands using multi-sensor remote sensing and economic valuation models.	Hokkaido University	Ecological Economics	wetland, ecosystem services, valuation
A018	-1.0	1.2	2024	Federated Learning for Privacy-Preserving Environmental Monitoring	A federated learning approach enables collaborative environmental monitoring across institutions without sharing raw sensor data.	Keio University	Environmental Modelling	federated learning, privacy, monitoring
A019	3.2	1.0	2023	Volcanic Activity Monitoring Using Multi-Sensor Satellite Data	Integration of thermal, SAR, and optical satellite data for comprehensive volcanic activity monitoring and eruption risk assessment.	Kyoto University	Journal of Volcanology	volcano, multi-sensor, monitoring
A020	-2.0	0.0	2022	Attention Mechanisms in Geospatial Data Processing	A survey of attention mechanism applications in geospatial data processing including image segmentation and object detection tasks.	Osaka University	ISPRS Journal	attention mechanism, geospatial, survey
